Date, Open, High, Low, Close, Volume
11/30/21, 462.00, 464.03, 455.30, 455.56, 148559594
11/29/21, 464.07, 466.56, 461.73, 464.60, 86268812
11/26/21, 462.34, 463.90, 457.77, 458.97, 112669602
11/24/21, 466.06, 469.57, 465.19, 469.44, 61858809
11/23/21, 467.22, 469.095, 464.45, 468.19, 73206547
11/22/21, 470.89, 473.54, 467.35, 467.57, 72761953
11/19/21, 469.61, 470.94, 468.50, 468.89, 57315566
11/18/21, 469.24, 470.01, 466.34, 469.73, 50625609
11/17/21, 469.00, 469.19, 467.48, 468.14, 47858289
11/16/21, 467.15, 470.485, 467.07, 469.28, 48857500
11/15/21, 468.64, 468.81, 466.23, 467.43, 46980500
11/12/21, 465.12, 467.86, 464.11, 467.27, 53466648
11/11/21, 465.21, 465.29, 463.75, 463.77, 34848500
11/10/21, 465.58, 467.38, 462.04, 463.62, 69429648
11/09/21, 469.32, 469.57, 465.88, 467.38, 51149152
11/08/21, 469.70, 470.23, 468.2031, 468.93, 50405191
11/05/21, 469.28, 470.65, 466.92, 468.53, 66390562
11/04/21, 465.36, 467.00, 464.99, 466.91, 52847090
11/03/21, 461.30, 465.15, 460.83, 464.72, 52509832
11/02/21, 460.22, 462.23, 460.08, 461.90, 48908422
11/01/21, 460.30, 460.7021, 458.20, 460.04, 48433641
10/29/21, 455.87, 459.56, 455.56, 459.25, 70162414
10/28/21, 455.46, 458.40, 455.45, 458.32, 51437941
10/27/21, 456.45, 457.16, 453.86, 453.94, 72438000
10/26/21, 457.20, 458.49, 455.56, 455.96, 56075121
10/25/21, 454.28, 455.90, 452.39, 455.55, 45214512
10/22/21, 453.13, 454.67, 451.05, 453.12, 58845090
10/21/21, 451.77, 453.829, 451.31, 453.59, 41305441
10/20/21, 451.13, 452.732, 451.01, 452.41, 49571566
10/19/21, 448.92, 450.71, 448.27, 450.64, 46996832
10/18/21, 443.97, 447.55, 443.27, 447.19, 62213230
10/15/21, 444.75, 446.26, 444.09, 445.87, 66260211
10/14/21, 439.08, 442.66, 438.58, 442.50, 70236828
10/13/21, 434.71, 436.05, 431.54, 435.18, 72973984
10/12/21, 435.67, 436.10, 432.78, 433.62, 71181156
10/11/21, 437.16, 440.26, 434.62, 434.69, 65233289
10/08/21, 439.48, 439.89, 437.19, 437.86, 74557398
10/07/21, 438.39, 441.68, 438.20, 438.66, 72437508
10/06/21, 429.27, 435.1199, 427.54, 434.90, 113032203
10/05/21, 430.24, 435.49, 429.39, 433.10, 90682523
10/04/21, 433.00, 433.96, 426.36, 428.64, 128570000
10/01/21, 430.98, 436.0329, 427.23, 434.24, 129240094
09/30/21, 436.02, 436.77, 428.78, 429.14, 140506000
09/29/21, 435.19, 437.04, 433.85, 434.45, 82329211
09/28/21, 439.69, 440.04, 432.94, 433.72, 130436305
09/27/21, 442.81, 444.05, 441.90, 442.64, 61371113
09/24/21, 441.44, 444.67, 441.21, 443.91, 62094840
09/23/21, 439.85, 444.89, 439.60, 443.18, 76395984
09/22/21, 436.05, 440.03, 433.747, 437.86, 102350094
09/21/21, 436.53, 437.91, 433.07, 433.63, 92526109
09/20/21, 434.88, 436.56, 428.86, 434.04, 166445500
09/17/21, 444.92, 445.37, 441.02, 441.40, 118425000
09/16/21, 447.32, 448.36, 444.02, 447.17, 77786734
09/15/21, 444.62, 448.41, 443.44, 447.88, 78792227
09/14/21, 448.12, 448.34, 443.22, 444.17, 78197133
09/13/21, 448.64, 448.92, 444.11, 446.58, 83738648
09/10/21, 451.04, 451.49, 445.31, 445.44, 89948172
09/09/21, 450.70, 452.57, 448.72, 448.98, 57970406
09/08/21, 450.89, 451.67, 448.86, 450.91, 56181910
09/07/21, 452.71, 452.81, 450.7423, 451.46, 51671527
09/03/21, 451.98, 453.63, 451.55, 453.08, 47234359
09/02/21, 453.32, 454.05, 451.91, 453.19, 42830871
09/01/21, 452.56, 453.11, 451.545, 451.80, 48721379
08/31/21, 452.13, 452.49, 450.92, 451.56, 59300207
08/30/21, 450.97, 453.07, 450.71, 452.23, 48357359
08/27/21, 447.12, 450.65, 447.06, 450.25, 77235109
08/26/21, 448.61, 448.86, 446.16, 446.26, 57829566
08/25/21, 448.17, 449.457, 447.77, 448.91, 40529711
08/24/21, 447.97, 448.54, 447.42, 447.97, 38744711
08/23/21, 445.16, 448.23, 443.4355, 447.26, 54973039
08/20/21, 440.23, 443.71, 439.71, 443.36, 72008711
08/19/21, 436.27, 441.14, 436.12, 439.86, 92812250
08/18/21, 442.96, 444.625, 438.92, 439.18, 89351930
08/17/21, 444.24, 444.96, 440.85, 444.04, 92673930
08/16/21, 444.53, 447.11, 442.87, 446.97, 73930867
08/13/21, 445.59, 445.94, 445.07, 445.92, 39470246
08/12/21, 443.62, 445.2572, 442.66, 445.11, 38942422
08/11/21, 443.82, 443.882, 442.62, 443.78, 44034340
08/10/21, 442.61, 443.44, 441.88, 442.68, 43339281
08/09/21, 442.46, 442.795, 441.31, 442.13, 41222594
08/06/21, 442.10, 442.94, 441.80, 442.49, 46930008
08/05/21, 440.22, 441.85, 439.88, 441.76, 38969660
08/04/21, 439.78, 441.1243, 438.73, 438.98, 46732207
08/03/21, 438.44, 441.28, 436.10, 441.15, 58053898
08/02/21, 440.34, 440.93, 437.21, 437.59, 58783301
07/30/21, 437.91, 440.06, 437.77, 438.51, 68951203
07/29/21, 439.815, 441.80, 439.81, 440.65, 47435340
07/28/21, 439.68, 440.30, 437.31, 438.83, 52472359
07/27/21, 439.91, 439.94, 435.99, 439.01, 67397133
07/26/21, 439.31, 441.03, 439.26, 441.02, 43719191
07/23/21, 437.52, 440.30, 436.79, 439.94, 63766641
07/22/21, 434.74, 435.72, 433.69, 435.46, 47878539
07/21/21, 432.34, 434.70, 431.0111, 434.55, 64724391
07/20/21, 425.68, 432.42, 424.83, 431.06, 99608172
07/19/21, 426.19, 431.4089, 421.97, 424.97, 147987016
07/16/21, 436.01, 436.06, 430.92, 431.34, 75874656
07/15/21, 434.81, 435.53, 432.72, 434.75, 55126359
07/14/21, 437.40, 437.92, 434.91, 436.24, 64130352
07/13/21, 436.24, 437.84, 435.31, 435.59, 52911312
07/12/21, 435.43, 437.35, 434.97, 437.08, 52889594
07/09/21, 432.53, 435.84, 430.714, 435.52, 76238578
07/08/21, 428.78, 431.73, 427.52, 430.92, 97595234
07/07/21, 433.66, 434.76, 431.51, 434.46, 63549461
07/06/21, 433.78, 434.01, 430.01, 432.93, 68710414
07/02/21, 431.67, 434.10, 430.5218, 433.72, 57697672
07/01/21, 428.87, 430.60, 428.80, 430.43, 53441031
06/30/21, 427.21, 428.78, 427.18, 428.06, 64827859
06/29/21, 427.88, 428.56, 427.13, 427.70, 35970520
06/28/21, 427.17, 427.65, 425.89, 427.47, 53159578
06/25/21, 425.90, 427.0943, 425.55, 426.61, 58129527
06/24/21, 424.89, 425.55, 424.62, 425.10, 45110289
06/23/21, 423.19, 424.05, 422.51, 422.60, 49445406
06/22/21, 420.85, 424.00, 420.08, 423.11, 57700301
06/21/21, 416.80, 421.06, 415.93, 420.86, 72822031
06/18/21, 417.09, 417.8281, 414.70, 414.92, 118676305
06/17/21, 421.67, 423.02, 419.32, 421.97, 90949664
06/16/21, 424.63, 424.87, 419.92, 422.11, 80386078
06/15/21, 425.42, 425.46, 423.54, 424.48, 51508512
06/14/21, 424.43, 425.37, 423.10, 425.26, 42358480
06/11/21, 424.20, 424.43, 422.82, 424.31, 45570832
06/10/21, 422.96, 424.63, 421.55, 423.61, 51020152
06/09/21, 423.18, 423.26, 421.41, 421.65, 48436340
06/08/21, 423.11, 423.21, 420.32, 422.28, 47134281
